#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"swi_fc","0","570","123179008","20357120","21454848","167824","C:\Program Files (x86)\Common Files\Sophos\Web Intelligence\swi_fc.exe","Sophos Limited","11554.03125","3.6.0.3312","3.6.0.3312","Sophos Web Intelligence","Sophos Anti-Virus","Process","8",,"False",,"5140","Microsoft.Win32.SafeHandles.SafeProcessHandle","570","5556",".","0","","System.Diagnostics.ProcessModule (swi_fc.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","167824","167824","21454848","21454848","180480","180480","39559168","39559168","38928384","38928384","125218816","125218816","True","Normal","21454848","21454848","02:27:06.7812500","swi_fc","15","True","0","System.Diagnostics.ProcessStartInfo","19-12-2018 11:51:46",,"System.Diagnostics.ProcessThreadCollection","03:12:34.1875000","00:45:27.4062500","123179008","123179008","False",,,,"20357120","20357120",,
"dwm","1","1270","2203761319936","79433728","68669440","75192","C:\WINDOWS\system32\dwm.exe","Microsoft Corporation","4999.25","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Desktop Window Manager","Microsoft? Windows? Operating System","Process","13",,"False",,"6564","Microsoft.Win32.SafeHandles.SafeProcessHandle","1270","1988",".","0","","System.Diagnostics.ProcessModule (dwm.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","75192","75192","68669440","68669440","1013632","1013632","108617728","108617728","111820800","111820800","496943104","2203815165952","True","High","68669440","68669440","00:33:29.5781250","dwm","15","True","1","System.Diagnostics.ProcessStartInfo","19-12-2018 11:51:25",,"System.Diagnostics.ProcessThreadCollection","01:23:19.2500000","00:49:49.6718750","443097088","2203761319936","False",,,,"79433728","79433728",,
"firefox","1","1598","6379606016","298627072","332513280","125984","C:\Program Files (x86)\Mozilla Firefox\firefox.exe","Mozilla Corporation","4285.03125","63.0.3","63.0.3","Firefox","Firefox","Process","8",,"False",,"6944","Microsoft.Win32.SafeHandles.SafeProcessHandle","1598","3904",".","198412","(203) IELTS Writing Task 1 General Training - YouTube - Mozilla Firefox","System.Diagnostics.ProcessModule (firefox.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","125984","125984","332513280","332513280","1012720","1012720","411885568","411885568","381095936","381095936","2126184448","6421151744","True","Normal","332513280","332513280","00:26:47.6250000","firefox","15","True","1","System.Diagnostics.ProcessStartInfo","19-12-2018 12:01:27",,"System.Diagnostics.ProcessThreadCollection","01:11:25.0468750","00:44:37.4218750","2084638720","6379606016","False",,,,"298627072","298627072",,
"System","0","5899","17551360","9109504","221184","272",,,"4227.453125",,,,,"Process","8",,,,,,"5899","4",".","0","",,,,,"272","272","221184","221184","0","0","245760","245760","12910592","12910592","27430912","27430912",,,"221184","221184","01:10:27.4531250","System",,"True","0","System.Diagnostics.ProcessStartInfo","19-12-2018 11:50:49",,"System.Diagnostics.ProcessThreadCollection","01:10:27.4531250","00:00:00","17551360","17551360","False",,,,"9109504","9109504",,
"firefox","1","985","7163244544","655441920","746778624","158856","C:\Program Files (x86)\Mozilla Firefox\firefox.exe","Mozilla Corporation","3784.015625","63.0.3","63.0.3","Firefox","Firefox","Process","8",,"False",,"6472","Microsoft.Win32.SafeHandles.SafeProcessHandle","985","15376",".","0","","System.Diagnostics.ProcessModule (firefox.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","158856","158856","746778624","746778624","1407376","1407376","982470656","982470656","834056192","834056192","-1391734784","7198199808","True","Normal","746778624","746778624","00:06:14.5781250","firefox","15","True","1","System.Diagnostics.ProcessStartInfo","19-12-2018 12:03:44",,"System.Diagnostics.ProcessThreadCollection","01:03:04.0156250","00:56:49.4375000","-1426690048","7163244544","False",,,,"655441920","655441920",,
"chrome","1","2840","2204080459776","183566336","160321536","86144","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","3316.109375","71.0.3578.98","71.0.3578.98","Google Chrome","Google Chrome","Process","8",,"False",,"6796","Microsoft.Win32.SafeHandles.SafeProcessHandle","2840","13236",".","132840","Academy Plan for EY- Status - Google Sheets - Google Chrome","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","86144","86144","160321536","160321536","1093064","1093064","195989504","195989504","231784448","231784448","826793984","2204145016832","True","Normal","160321536","160321536","00:20:31.2656250","chrome","15","True","1","System.Diagnostics.ProcessStartInfo","19-12-2018 12:00:30",,"System.Diagnostics.ProcessThreadCollection","00:55:16.1093750","00:34:44.8437500","762236928","2204080459776","False",,,,"183566336","183566336",,
"firefox","1","723","4966277120","97837056","112734208","33552","C:\Program Files (x86)\Mozilla Firefox\firefox.exe","Mozilla Corporation","2474.3125","63.0.3","63.0.3","Firefox","Firefox","Process","8",,"False",,"7028","Microsoft.Win32.SafeHandles.SafeProcessHandle","723","14732",".","0","","System.Diagnostics.ProcessModule (firefox.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","33552","33552","112734208","112734208","875536","875536","270884864","270884864","220352512","220352512","745410560","5040377856","True","Normal","112734208","112734208","00:19:16.4687500","firefox","15","True","1","System.Diagnostics.ProcessStartInfo","19-12-2018 12:02:24",,"System.Diagnostics.ProcessThreadCollection","00:41:14.3125000","00:21:57.8437500","671309824","4966277120","False",,,,"97837056","97837056",,
"firefox","1","839","6470946816","112402432","225820672","77800","C:\Program Files (x86)\Mozilla Firefox\firefox.exe","Mozilla Corporation","1808.328125","63.0.3","63.0.3","Firefox","Firefox","Process","8",,"False",,"6972","Microsoft.Win32.SafeHandles.SafeProcessHandle","839","11072",".","0","","System.Diagnostics.ProcessModule (firefox.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","77800","77800","225820672","225820672","1406840","1406840","315334656","315334656","354107392","354107392","-2088226816","6501707776","True","Normal","225820672","225820672","00:01:25.9531250","firefox","15","True","1","System.Diagnostics.ProcessStartInfo","19-12-2018 12:03:38",,"System.Diagnostics.ProcessThreadCollection","00:30:08.3281250","00:28:42.3750000","-2118987776","6470946816","False",,,,"112402432","112402432",,
"idea64","1","774","7194177536","185798656","934281216","57176","C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.3.4\bin\idea64.exe","JetBrains s.r.o.","1744.40625","2017.3.4.IC-173.4548.28","2017.3.4.IC-173.4548.28","IntelliJ IDEA","IntelliJ IDEA","Process","8",,"False",,"6148","Microsoft.Win32.SafeHandles.SafeProcessHandle","774","13668",".","132922","on-prem-mall-app [E:\Scripbox\PushOnPrem\on-prem-mall-app] - ...\test\e2e\Stan\operations\organizationOperation.js [on-prem-mall-app] - IntelliJ IDEA","System.Diagnostics.ProcessModule (idea64.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","57176","57176","934281216","934281216","350784","350784","976056320","976056320","792350720","792350720","-1378140160","7211794432","True","Normal","934281216","934281216","00:07:21.2968750","idea64","15","True","1","System.Diagnostics.ProcessStartInfo","19-12-2018 12:01:40",,"System.Diagnostics.ProcessThreadCollection","00:29:04.4218750","00:21:43.1250000","-1395757056","7194177536","False",,,,"185798656","185798656",,
"SavService","0","1542","754884608","301871104","299761664","87688","C:\Program Files (x86)\Sophos\Sophos Anti-Virus\SavService.exe","Sophos Limited","1529.203125","10.8.2.334","10.8.2","Performs virus scanning and disinfection functions","Sophos Anti-Virus","Process","8",,"False",,"2664","Microsoft.Win32.SafeHandles.SafeProcessHandle","1542","3276",".","0","","System.Diagnostics.ProcessModule (SavService.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","87688","87688","299761664","299761664","239920","239920","586743808","586743808","523595776","523595776","841773056","841773056","True","Normal","299761664","299761664","00:05:36.7343750","SavService","15","True","0","System.Diagnostics.ProcessStartInfo","19-12-2018 11:51:32",,"System.Diagnostics.ProcessThreadCollection","00:25:29.2031250","00:19:52.4687500","754884608","754884608","False",,,,"301871104","301871104",,
